,DISTRICTS,geometry,LOCATIONID,LOCATIONNAME,ZONELEVELID
0,Arganzuela,"POLYGON ((-3.678545 40.394052, -3.676422 40.392294, -3.676708 40.392133, -3.677887 40.390999, -3.678969 40.389983, -3.679942 40.388588, -3.680481 40.387828, -3.681107 40.386926, -3.682288 40.385223, -3.682826 40.38472, -3.683261 40.384285, -3.683676 40.384108, -3.683921 40.38402, -3.684837 40.383785, -3.685409 40.38363, -3.68626 40.383459, -3.686757 40.383365, -3.687308 40.383251, -3.688099 40.383082, -3.689953 40.382347, -3.690229 40.382567, -3.690722 40.382903, -3.692822 40.384705, -3.697683 40.388705, -3.698082 40.389126, -3.696967 40.389852, -3.695225 40.390983, -3.695062 40.391187, -3.695041 40.391361, -3.694455 40.39126, -3.690222 40.392673, -3.688902 40.393097, -3.688509 40.392405, -3.687245 40.392778, -3.68476 40.394038, -3.683926 40.393124, -3.682562 40.393795, -3.68108148254425 40.394590827747656, -3.681091 40.394587, -3.683921 40.393131, -3.68476 40.394048, -3.687247 40.392784, -3.688503 40.392418, -3.6889 40.393107, -3.690191 40.392694, -3.691045 40.392406, -3.692481 40.391924, -3.694445 40.391265, -3.695036 40.391365, -3.694701 40.394214, -3.6948697692361434 40.39445328386053, -3.694704 40.394206, -3.694975 40.39196, -3.695079 40.391188, -3.695238 40.390993, -3.698094 40.389132, -3.699357 40.390477, -3.702093 40.39348, -3.70321 40.394424, -3.7047033359204193 40.39500374219133, -3.704704 40.395003, -3.70564 40.395382, -3.709346 40.39646, -3.710324 40.39681, -3.711064 40.397204, -3.713478 40.399023, -3.714384 40.399425, -3.714982 40.399585, -3.716316 40.399959, -3.716981 40.399932, -3.719504 40.39982, -3.720287 40.400043, -3.721244 40.400649, -3.721909 40.401484, -3.72243 40.403614, -3.722593 40.404369, -3.722604 40.40461, -3.722558 40.405987, -3.721696 40.408294, -3.721641 40.409124, -3.72215 40.410563, -3.722878 40.412854, -3.722785 40.414024, -3.721885 40.413998, -3.721169 40.413974, -3.720665 40.413956, -3.716915 40.413895, -3.718252 40.411186, -3.718105 40.410818, -3.717824 40.410381, -3.716773 40.408698, -3.714803 40.407837, -3.712775 40.407051, -3.711682 40.4067, -3.710518 40.406438, -3.707124 40.405809, -3.705825 40.405575, -3.703245 40.405086, -3.702733 40.404967, -3.702576 40.405009, -3.701073 40.405416, -3.700521 40.405564, -3.69915 40.40594, -3.69399 40.407352, -3.693462 40.407544, -3.692378 40.408258, -3.692073 40.408994, -3.688837 40.406774, -3.687407 40.406183, -3.683445 40.40511, -3.684777 40.40299, -3.683919 40.402739, -3.682082 40.401874, -3.683842 40.400676, -3.685031 40.401255, -3.685882 40.400678, -3.68553 40.400381, -3.685714 40.400345, -3.686162 40.400433, -3.686798 40.400478, -3.688386 40.400571, -3.692001 40.400752, -3.693037 40.400817, -3.693981 40.40076, -3.698445062401492 40.40097627256735, -3.697309 40.400919, -3.696653 40.400889, -3.695922 40.40085, -3.693959 40.400757, -3.693038 40.400814, -3.692517 40.400777, -3.690978 40.4007, -3.689548 40.400629, -3.688612 40.400582, -3.688135 40.400556, -3.68664 40.400465, -3.686171 40.40043, -3.685717 40.400341, -3.685518 40.400381, -3.685874 40.400675, -3.685031 40.401243, -3.683844 40.400665, -3.682066 40.401867, -3.680053 40.400957, -3.679872 40.400873, -3.678665 40.400306, -3.67704 40.399357, -3.676749 40.399115, -3.675749 40.398216, -3.674841 40.397095, -3.674144 40.395987, -3.673566 40.394804, -3.673464 40.394385, -3.675332 40.393072, -3.676422 40.392312, -3.678798 40.394287, -3.679716 40.39514, -3.680092858735554 40.394988434268534, -3.679717 40.395139, -3.678545 40.394052), (-3.714911 40.399734, -3.714899459340708 40.39975863736254, -3.714982 40.399585, -3.714911 40.399734), (-3.71186 40.406248, -3.71190864261164 40.406129494845466, -3.71183 40.406318, -3.711682 40.4067, -3.71186 40.406248), (-3.702544 40.404981, -3.702483 40.404928, -3.702576 40.405009, -3.702544 40.404981), (-3.700996 40.399138, -3.700872 40.399273, -3.7003625767867216 40.39982466394407, -3.700913 40.399234, -3.7015334799997426 40.39854351454574, -3.700996 40.399138), (-3.699255 40.400949, -3.698968 40.400351, -3.6987811405128617 40.40008284585694, -3.698969 40.400354, -3.699086 40.400598, -3.699254549302558 40.40094906126924, -3.699256 40.400949, -3.69934 40.400922, -3.699255 40.400949), (-3.699427 40.40105, -3.699462 40.401097, -3.699543 40.401206, -3.699592 40.401272, -3.700627 40.402552, -3.7006708795812377 40.40260787434566, -3.700535 40.402434, -3.699594 40.401274, -3.699426 40.401048, -3.69934 40.400922, -3.699427 40.40105), (-3.6985206292470236 40.40097993359047, -3.698522 40.40098, -3.698604989949385 40.400976494974884, -3.6985206292470236 40.40097993359047), (-3.6954337478558403 40.395252902229736, -3.695154 40.394855, -3.6951157180232648 40.39480199418606, -3.6954337478558403 40.395252902229736), (-3.6959062543305707 40.39593326943133, -3.695798 40.395771, -3.6955118828185123 40.39536403829466, -3.6959062543305707 40.39593326943133), (-3.712628 40.404505, -3.712620293184322 40.40452212879805, -3.7132318059032405 40.40323083123193, -3.712974 40.403775, -3.712628 40.404505), (-3.701684 40.403906, -3.7018914498775626 40.40416885574548, -3.701253887353931 40.40335379808721, -3.701684 40.403906))",0-EU-ES-28-07-001-079-02-001,Imperial,8
1,Barajas,"MULTIPOLYGON (((-3.605272 40.452766, -3.604161 40.453803, -3.600432 40.457254, -3.599848 40.457651, -3.595588 40.459572, -3.592609 40.460787, -3.589002 40.462357, -3.586682 40.463852, -3.584471 40.465289, -3.583396 40.464658, -3.580856 40.462217, -3.580503 40.462462, -3.57797 40.460691, -3.582824 40.456673, -3.583622 40.456088, -3.585788 40.454343, -3.587124 40.453175, -3.588568 40.452018, -3.589566 40.45127, -3.59061 40.450686, -3.591436 40.450385, -3.59225 40.450165, -3.597676 40.450219, -3.601888 40.450071, -3.603873 40.449827, -3.604189 40.451292, -3.604788 40.452238, -3.605272 40.452766)), ((-3.607629 40.454007, -3.608818 40.45434, -3.611145 40.455032, -3.61228 40.455426, -3.617736 40.458306, -3.619064 40.459014, -3.620999 40.460202, -3.621714 40.460778, -3.623503 40.462841, -3.624779 40.464387, -3.625858 40.465816, -3.626904 40.467182, -3.627843 40.468397, -3.624269 40.46875, -3.624634 40.470232, -3.624242 40.47143, -3.623536 40.472342, -3.615894 40.471981, -3.608822 40.471875, -3.606634 40.471626, -3.603208 40.470483, -3.602806 40.470347, -3.602796825766669 40.47034384187131, -3.601451 40.473601, -3.601471 40.475754, -3.60157 40.479857, -3.6015690310102957 40.479856993548545, -3.601976 40.492896, -3.601931 40.501688, -3.593178 40.501751, -3.57144 40.51338, -3.554314 40.511626, -3.555344 40.508002, -3.553072 40.500192, -3.541496 40.494174, -3.542192 40.489244, -3.536763 40.486626, -3.536206 40.482529, -3.536695 40.480085, -3.536976 40.478321, -3.535612 40.476685, -3.532272 40.474771, -3.530423 40.471675, -3.526455 40.470063, -3.525234 40.467571, -3.528479 40.463924, -3.529022 40.462522, -3.529752 40.459679, -3.52853 40.458042, -3.526448 40.456506, -3.526979 40.454493, -3.532204 40.454597, -3.534321 40.453038, -3.533574 40.449547, -3.532055 40.446778, -3.533312 40.446578, -3.534132 40.44653, -3.535716 40.446742, -3.537368 40.447388, -3.543925 40.448067, -3.557654 40.449471, -3.575018 40.449844, -3.582879 40.449997, -3.592215 40.45017, -3.591449 40.450373, -3.590583 40.45069, -3.589557 40.45124, -3.588537 40.452027, -3.587291 40.453012, -3.585172 40.454802, -3.583918 40.455807, -3.582721 40.456727, -3.579912 40.459034, -3.577935 40.460688, -3.580491 40.462478, -3.580841 40.462241, -3.583372 40.464666, -3.584426 40.465323, -3.583871 40.465715, -3.58337 40.466081, -3.582874 40.466606, -3.582504 40.467109, -3.582213 40.467619, -3.582115 40.467825, -3.581353 40.46741, -3.5813497802410152 40.46741139896659, -3.582087 40.467849, -3.581893 40.468225, -3.581438 40.469209, -3.581527 40.470826, -3.581752 40.471976, -3.582399 40.47489, -3.582444 40.475413, -3.582295 40.476028, -3.581397 40.47851, -3.581101 40.479627, -3.580542 40.479538, -3.579856 40.479342, -3.57883 40.478934, -3.578111 40.478401, -3.577133 40.477576, -3.576617 40.477122, -3.575687 40.476329, -3.575037 40.475632, -3.574648 40.474935, -3.57438 40.474278, -3.574378 40.473783, -3.574571 40.47285, -3.57513 40.471415, -3.575994 40.471294, -3.576473 40.471451, -3.576947 40.471644, -3.57818 40.470692, -3.579307 40.469817, -3.580426 40.467963, -3.5807594362482185 40.46766790000492, -3.58075 40.467672, -3.580419 40.467945, -3.579858 40.468864, -3.579294 40.46982, -3.578725 40.470256, -3.578044 40.470778, -3.576949 40.471635, -3.576287 40.471369, -3.575999 40.471285, -3.575133 40.471405, -3.574555 40.47286, -3.574363 40.47378, -3.574376 40.474272, -3.574589 40.474852, -3.575022 40.475636, -3.57567 40.476339, -3.578112 40.478418, -3.57882 40.478936, -3.579844 40.479351, -3.580554 40.479552, -3.581764 40.479729, -3.583811 40.47974, -3.589195 40.479784, -3.593536 40.479812, -3.6007275542271264 40.47985139106012, -3.581744 40.479725, -3.581106 40.479625, -3.581397 40.478544, -3.582306 40.476037, -3.582459 40.475408, -3.582404 40.47487, -3.581787 40.47211, -3.581545 40.470888, -3.58144 40.469219, -3.581896 40.468253, -3.58224 40.467602, -3.582727 40.467938, -3.583688 40.46833, -3.584412 40.468482, -3.585376 40.468578, -3.587257 40.468635, -3.595185 40.468817, -3.598319 40.469258, -3.599679 40.469426, -3.601407 40.469872, -3.6023389599425157 40.470186226608945, -3.6014 40.469863, -3.599679 40.469417, -3.59517 40.468807, -3.593408 40.46876, -3.587805 40.468639, -3.585418 40.468572, -3.584404 40.468476, -3.583688 40.468317, -3.582762 40.467945, -3.58224 40.467596, -3.582539 40.467093, -3.583354 40.466112, -3.584462 40.465323, -3.588956 40.462387, -3.590082 40.461917, -3.593139 40.460593, -3.595719 40.459531, -3.599856 40.457677, -3.600446 40.457268, -3.601091 40.456669, -3.605293 40.452774, -3.605346 40.452814, -3.605506 40.452966, -3.606553 40.453585, -3.607629 40.454007)))",0-EU-ES-28-07-001-079-21-004,Timón,8
2,Carabanchel,"POLYGON ((-3.742365 40.371574, -3.742094 40.371979, -3.742021 40.372201, -3.741951 40.372561, -3.741996 40.373004, -3.742057 40.37324, -3.740833 40.373529, -3.73988 40.373692, -3.739465 40.373708, -3.736167 40.373833, -3.735466 40.373795, -3.733936 40.373655, -3.733832147434134 40.37364625407602, -3.733936 40.373656, -3.735444 40.373796, -3.736155 40.37384, -3.736416 40.373844, -3.736061 40.37431, -3.735702 40.374704, -3.734437 40.375865, -3.735058 40.376289, -3.736309 40.37714, -3.737213 40.377755, -3.732843 40.379246, -3.732579 40.37934, -3.732235 40.379787, -3.731586 40.380629, -3.730655 40.381834, -3.729827 40.382783, -3.729133 40.383799, -3.72896 40.384037, -3.727959 40.385518, -3.727909 40.385594, -3.727693 40.386164, -3.726715 40.38582, -3.726335 40.385761, -3.725386 40.385609, -3.722704 40.385201, -3.721844 40.385143, -3.721088 40.385189, -3.718018 40.38522, -3.717406 40.385225, -3.717715 40.384851, -3.718454 40.382341, -3.718715 40.381481, -3.718847 40.380993, -3.719022 40.379557, -3.719661 40.374289, -3.719725 40.37372, -3.720897 40.373646, -3.722742 40.373518, -3.726566 40.373289, -3.728608 40.373156, -3.722734 40.373513, -3.719724 40.373711, -3.720101 40.370584, -3.720552 40.366533, -3.72073 40.364777, -3.725645 40.364425, -3.72683 40.364338, -3.731806 40.363008, -3.734596 40.362271, -3.735911 40.362223, -3.744714 40.360273, -3.757636 40.357332, -3.77069 40.359928, -3.777295 40.361291, -3.78023 40.361919, -3.777402 40.364332, -3.775729 40.362423, -3.774706 40.361273, -3.771626 40.362773, -3.771526 40.365474, -3.76781 40.36603, -3.767032 40.366134, -3.766258 40.370004, -3.77157 40.37099, -3.770749 40.373959, -3.767436 40.373421, -3.765545 40.373135, -3.762292 40.372654, -3.762852 40.36942, -3.762867 40.368934, -3.762821 40.368691, -3.761794 40.366821, -3.7608412059952414 40.36662064405829, -3.761792 40.366824, -3.762394 40.367915, -3.762817 40.368695, -3.762863 40.368936, -3.762845 40.369422, -3.762721 40.370166, -3.762365 40.372212, -3.762292 40.372653, -3.762243 40.372646, -3.761931 40.374463, -3.761845 40.374471, -3.757973 40.375503, -3.75787 40.376221, -3.757466 40.377023, -3.756669 40.378196, -3.755812 40.378431, -3.755608 40.378136, -3.755114 40.37776, -3.753839 40.377134, -3.753238 40.376967, -3.752079 40.376752, -3.750103 40.376402, -3.750776 40.37577, -3.750828 40.375558, -3.750355 40.37492, -3.750216 40.374756, -3.750345 40.374133, -3.749765 40.374136, -3.749541 40.373906, -3.749410733471919 40.37383151746361, -3.74956 40.373926, -3.749765 40.374145, -3.75034 40.374139, -3.750209 40.374761, -3.750364 40.374938, -3.750822 40.375562, -3.750771 40.375766, -3.750083 40.376412, -3.749453 40.377033, -3.747793 40.378479, -3.745838 40.380236, -3.745398 40.380444, -3.745249 40.380556, -3.744922 40.380659, -3.744447 40.380901, -3.74346 40.381633, -3.742911 40.381941, -3.742197 40.382164, -3.741384 40.382347, -3.741867 40.382935, -3.739745 40.384519, -3.739481 40.384643, -3.73796 40.385019, -3.736546 40.385414, -3.734784 40.3865, -3.733768 40.387187, -3.733056 40.387635, -3.7329 40.387735, -3.732111 40.388254, -3.732102772274736 40.388246153973334, -3.731751 40.388484, -3.731684 40.388484, -3.729723 40.389815, -3.728299 40.390775, -3.727312 40.391446, -3.717935 40.396655, -3.716998 40.397188, -3.715749 40.397738, -3.715742 40.397513, -3.715516 40.396978, -3.715125 40.395838, -3.715658 40.394355, -3.715296 40.393198, -3.715199 40.392334, -3.715277 40.392011, -3.715953 40.389934, -3.716071 40.389542, -3.716372 40.388662, -3.717388 40.385588, -3.717271 40.385449, -3.717432 40.385233, -3.721084 40.385191, -3.721849 40.385144, -3.722712 40.385204, -3.723613 40.38534, -3.725406 40.385615, -3.726717 40.385823, -3.727713 40.386175, -3.728539 40.386542, -3.730559 40.387412, -3.731225 40.387782, -3.731564 40.38794, -3.731915 40.388072, -3.732089781249972 40.388233765624975, -3.731917 40.388069, -3.731536 40.387926, -3.731233 40.387782, -3.7307 40.387488, -3.730564 40.387408, -3.729262 40.386851, -3.728665 40.38659, -3.727696 40.386164, -3.727914 40.385591, -3.728446 40.3848, -3.72896 40.384042, -3.729145 40.383786, -3.729829 40.382784, -3.730653 40.381843, -3.732583 40.37934, -3.73283 40.379252, -3.73722 40.377755, -3.734441 40.375865, -3.734852 40.375495, -3.735731 40.374681, -3.73606 40.374318, -3.736422 40.373842, -3.739888 40.373695, -3.740858 40.373532, -3.742074 40.373244, -3.743157 40.373242, -3.74322 40.372982, -3.743489 40.372953, -3.744066 40.37287, -3.745439 40.372938, -3.74643 40.372868, -3.746891 40.372905, -3.747152 40.372983, -3.747693 40.373244, -3.749116 40.373666, -3.749259045414159 40.37374478673202, -3.749123 40.373667, -3.748883 40.373592, -3.748379 40.373444, -3.747692 40.373238, -3.747162 40.372982, -3.746899 40.372904, -3.74642 40.372865, -3.745423 40.372935, -3.744069 40.372864, -3.743209 40.372983, -3.743154 40.373232, -3.742065 40.37324, -3.742006 40.373005, -3.741974 40.372737, -3.741957 40.372572, -3.742026 40.372199, -3.7421 40.371979, -3.742366 40.371578, -3.7431966547571416 40.37080707771978, -3.743168 40.370829, -3.742365 40.371574), (-3.746457 40.365328, -3.746367 40.365489, -3.746264 40.366611, -3.746249 40.366753, -3.7462 40.366821, -3.746071 40.366967, -3.745694 40.367263, -3.745344 40.367448, -3.744943 40.367491, -3.743577 40.367366, -3.743178 40.367444, -3.742884 40.367594, -3.7424 40.367831, -3.741311 40.367827, -3.741879 40.368199, -3.742158 40.368382, -3.743411 40.36921, -3.744446 40.369689, -3.743718357556765 40.37040043022628, -3.744455 40.369685, -3.743437 40.369208, -3.742165 40.368378, -3.741326 40.367831, -3.742404 40.367836, -3.742815 40.367635, -3.743182 40.367453, -3.743575 40.36737, -3.744939 40.367499, -3.745342 40.367453, -3.745699 40.367269, -3.746092 40.366958, -3.746259 40.366752, -3.746267 40.366618, -3.746323 40.366026, -3.746367 40.365493, -3.746463 40.36533, -3.7466494033365936 40.36521657998038, -3.746642 40.36522, -3.746457 40.365328), (-3.747688 40.365158, -3.747084 40.365121, -3.746826 40.365135, -3.7466786371682423 40.365203075221196, -3.746824 40.365138, -3.747091 40.365124, -3.747692 40.365161, -3.748762 40.365249, -3.7493348172843888 40.365280594238705, -3.748757 40.365246, -3.747688 40.365158), (-3.750013 40.365318, -3.750472 40.365078, -3.750473344745964 40.36506986196839, -3.749998388266386 40.36531719407704, -3.750013 40.365318), (-3.753659 40.363603, -3.753599 40.364319, -3.753684 40.364645, -3.752756 40.364915, -3.750521 40.364719, -3.7504808801155516 40.36502425999036, -3.75053 40.364727, -3.752758 40.364918, -3.75369 40.364647, -3.753604 40.364323, -3.753664 40.363607, -3.755183 40.363635, -3.7551259610691488 40.36422891051711, -3.755186 40.36363, -3.753659 40.363603), (-3.757459 40.36577, -3.755725 40.365684, -3.754998746210483 40.36565561541793, -3.755765 40.365704, -3.75745 40.365773, -3.757467 40.365916, -3.7582285620041715 40.366071250648396, -3.757476 40.365913, -3.757459 40.36577))",0-EU-ES-28-07-001-079-11-006,Buena Vista,8
3,Centro,"POLYGON ((-3.714767 40.407824, -3.716773 40.4087, -3.718106 40.410826, -3.718253 40.411181, -3.716888 40.413901, -3.719843 40.413943, -3.722784 40.414024, -3.722512 40.415242, -3.722305 40.416358, -3.721902 40.417396, -3.72097 40.420026, -3.72044 40.42028, -3.71941 40.420238, -3.715524 40.420321, -3.714495 40.421015, -3.713267 40.421854, -3.712748 40.42232, -3.712022 40.422729, -3.710879 40.423387, -3.711605 40.4242, -3.71251 40.425425, -3.714028 40.427516, -3.715178 40.429112, -3.716201 40.430516, -3.716283 40.430627, -3.713116 40.430338, -3.711638 40.430178, -3.71023 40.43004, -3.709336 40.429949, -3.706536 40.429677, -3.706121 40.42964, -3.705922 40.429612, -3.705828 40.4296, -3.705602 40.429569, -3.705162 40.429516, -3.704777 40.429451, -3.703684 40.429273, -3.70305 40.42917, -3.702668 40.429111, -3.702428 40.429072, -3.702255 40.428643, -3.701505 40.426808, -3.701259 40.426191, -3.701113 40.425823, -3.700939 40.425405, -3.700771584551092 40.42500937578275, -3.700917 40.425358, -3.701311 40.426338, -3.702209 40.428545, -3.70242 40.429057, -3.701932 40.428971, -3.70151 40.428878, -3.701135 40.428802, -3.69957 40.428458, -3.697752 40.428061, -3.697139 40.427926, -3.695919 40.427751, -3.695337 40.427471, -3.694884 40.42723, -3.693171 40.426356, -3.692286 40.425934, -3.691172 40.425374, -3.690453 40.425019, -3.690643 40.424618, -3.691208 40.423183, -3.692158 40.421225, -3.692439 40.420447, -3.692697 40.419986, -3.693108 40.419498, -3.693289 40.418808, -3.694269 40.415267, -3.693574 40.413388, -3.692292 40.409646, -3.692148318638693 40.40919500017145, -3.692127 40.409187, -3.692073 40.408994, -3.692379 40.408258, -3.693463 40.407544, -3.694005 40.407346, -3.699349 40.405886, -3.700266 40.405634, -3.702733 40.404966, -3.70294 40.405018, -3.70324 40.405084, -3.705492 40.405515, -3.707111 40.405811, -3.71054 40.406443, -3.711682 40.4067, -3.713002 40.407127, -3.714767 40.407824), (-3.70596 40.42022, -3.705775 40.420212, -3.70596 40.420221, -3.707481 40.421208, -3.710879 40.423387, -3.70596 40.42022), (-3.706252717095644 40.420179039587296, -3.706252 40.420179, -3.70596 40.42022, -3.706252717095644 40.420179039587296), (-3.705044123673278 40.42019163672885, -3.705263 40.420198, -3.705775 40.420212, -3.705044123673278 40.42019163672885), (-3.71161 40.406834, -3.7116054813793307 40.406843056551686, -3.711682 40.4067, -3.71161 40.406834), (-3.707253972995425 40.42023455546323, -3.707231 40.420233, -3.706886 40.420214, -3.706439243524019 40.4201893367876, -3.707253972995425 40.42023455546323), (-3.708218 40.420302, -3.707423 40.420246, -3.707399702927744 40.42024442259407, -3.708218 40.420302), (-3.707889 40.419805, -3.7079437477476325 40.41974174774788, -3.707888 40.419805, -3.708218 40.420302, -3.707889 40.419805), (-3.708751 40.417852, -3.708505 40.418312, -3.70822 40.418846, -3.708219366003387 40.41884831408764, -3.708751 40.417852), (-3.708572 40.417742, -3.7086148206214453 40.41748567937867, -3.708571 40.417742, -3.708751 40.417852, -3.708572 40.417742), (-3.708659 40.41674, -3.708608 40.416381, -3.708728 40.416137, -3.708606 40.416382, -3.708695 40.417005, -3.708659 40.41674), (-3.708473 40.415285, -3.7083754905658894 40.41513681132053, -3.708472 40.415285, -3.708681 40.415397, -3.708473 40.415285), (-3.7082730899652643 40.41495966781981, -3.708317 40.415047, -3.7083190204308116 40.415050102338924, -3.7082730899652643 40.41495966781981), (-3.708043 40.414479, -3.708137 40.414689, -3.7081495691699637 40.41471399868249, -3.708043 40.414479), (-3.708147 40.414008, -3.708238 40.413728, -3.708146 40.414011, -3.7081232857143047 40.41411539835156, -3.708147 40.414008), (-3.7078 40.413549, -3.707547615897441 40.413467827815666, -3.707802 40.41355, -3.708238 40.413728, -3.7078 40.413549), (-3.707412 40.413563, -3.706383 40.413856, -3.706374 40.413987, -3.706003 40.4139975, -3.706375 40.413987, -3.706385 40.413856, -3.707412 40.413564, -3.7074140869565158 40.41354769565222, -3.707412 40.413563), (-3.7055800272110804 40.41399997278915, -3.705631 40.414008, -3.7056318454871144 40.414007976135444, -3.7055800272110804 40.41399997278915), (-3.704772 40.413924, -3.7047718628238884 40.41392404323126, -3.704794807156958 40.41392519284294, -3.704772 40.413924), (-3.7041574143646767 40.41420127624308, -3.704158 40.414201, -3.704172999999174 40.41419346666708, -3.7041574143646767 40.41420127624308), (-3.702776693066476 40.41389960395943, -3.702944 40.413957, -3.7034822618270584 40.41414174663823, -3.703483 40.414141, -3.702776693066476 40.41389960395943), (-3.700984 40.416135, -3.7008797901736323 40.41621747717882, -3.701302476247578 40.41589524821811, -3.700984 40.416135), (-3.70008 40.417079, -3.7000546410257167 40.417118692307575, -3.700161219078766 40.416956534868696, -3.70008 40.417079), (-3.699643 40.417743, -3.6995070000002417 40.417840499999826, -3.699643 40.417745, -3.6997293475380477 40.41761362308681, -3.699643 40.417743), (-3.699371 40.417938, -3.699457496000208 40.41819494400062, -3.6993715389931277 40.41793761358949, -3.699371 40.417938), (-3.699678 40.418941, -3.699738 40.419294, -3.6996850302109063 40.419757735512064, -3.699686 40.419758, -3.699741 40.419301, -3.699686 40.418952, -3.69953 40.418412, -3.6995092478873115 40.41834987417836, -3.699678 40.418941), (-3.6994777870376256 40.41969675000018, -3.699664 40.419752, -3.69967307089555 40.41975447388061, -3.6994777870376256 40.41969675000018), (-3.696488 40.418813, -3.6960611380331994 40.41890216056233, -3.6964884134846137 40.418813122221756, -3.696488 40.418813), (-3.693684 40.419362, -3.69367769601009 40.41936348844206, -3.694443970758473 40.41921809064361, -3.693684 40.419362), (-3.710415184442746 40.40879650601433, -3.710451 40.408753, -3.711042 40.40803, -3.7112960673684117 40.40747594947371, -3.71104 40.40803, -3.710415184442746 40.40879650601433), (-3.694558 40.410137, -3.694003 40.409891, -3.692685117981149 40.40939644299506, -3.693967 40.409881, -3.695572 40.410582, -3.6964316209308077 40.41100641003827, -3.695582 40.410586, -3.694558 40.410137), (-3.6986678910008903 40.41214946972186, -3.700159 40.412919, -3.699547 40.412602, -3.6986678910008903 40.41214946972186), (-3.707543 40.412945, -3.7075456411483256 40.41284639712918, -3.7075410741015187 40.41295326602445, -3.707543 40.412945), (-3.708085 40.411844, -3.708069482985767 40.411874013172266, -3.708079 40.411856, -3.708407 40.41129, -3.7085614615394946 40.41110169230643, -3.708402 40.411296, -3.708085 40.411844), (-3.70916 40.410372, -3.7092333452768638 40.41026995439741, -3.7090964548745755 40.410449469356095, -3.70916 40.410372), (-3.700307200000037 40.419885650000005, -3.700694 40.419934, -3.701184 40.419993, -3.701419 40.420010999999995, -3.701185 40.419993, -3.700307200000037 40.419885650000005), (-3.701511 40.420351, -3.7014556666666243 40.42053433333347, -3.701513 40.420348, -3.701653968296796 40.420029071725686, -3.7016539681514478 40.42002907171492, -3.701511 40.420351), (-3.701774 40.420038, -3.7018359999977 40.42004255555538, -3.701734000001163 40.420035000000084, -3.701774 40.420038), (-3.7006814867569178 40.42332139905821, -3.70069 40.423095, -3.700751 40.422819, -3.700815 40.422523, -3.700924 40.422024, -3.7009829100310725 40.42186533815912, -3.700924 40.422022, -3.700689 40.423095, -3.7006814867569178 40.42332139905821), (-3.701237 40.421181, -3.701326774580376 40.42091854676247, -3.701237 40.421178, -3.7011822563417875 40.42132844058745, -3.701237 40.421181))",0-EU-ES-28-07-001-079-01-001,Palacio,8
